year	quarter	gdp
1995	1	532816.7
1995	2	536869.5
1995	3	537778.0
1995	4	537987.6
1996	1	533568.1
1996	2	540835.1
1996	3	542651.9
1996	4	546564.9
1997	1	543647.7
1997	2	550984.8
1997	3	552661.9
1997	4	556575.0
1998	1	561798.4
1998	2	559632.2
1998	3	562287.5
1998	4	559772.0
1999	1	566270.7
1999	2	566340.5
1999	3	572769.1
1999	4	577311.0
2000	1	585521.7
2000	2	590413.3
2000	3	590203.7
2000	4	588317.0
2001	1	600178.7
2001	2	599969.0
2001	3	598781.1
2001	4	598152.2
2002	1	595060.2
2002	2	597645.6
2002	3	600720.2
2002	4	599672.0
2003	1	590797.7
2003	2	591426.5
2003	3	596038.3
2003	4	597645.5
2004	1	596667.4
2004	2	599672.0
2004	3	598484.1
2004	4	597925.1
2005	1	597872.7
2005	2	601226.8
2005	3	606188.1
2005	4	609053.1
2006	1	614922.8
2006	2	625614.1
2006	3	630365.8
2006	4	640008.9
2007	1	640340.9
2007	2	645721.4
2007	3	649005.6
2007	4	653198.1
2008	1	657478.3
2008	2	655801.2
2008	3	651678.5
2008	4	641266.7
2009	1	611271.8
2009	2	612110.3
2009	3	615604.1
2009	4	620215.9
2010	1	625194.8
2010	2	639170.4
2010	3	644481.0
2010	4	649791.7
2011	1	662299.8
2011	2	662928.8
2011	3	668658.7
2011	4	666841.8
2012	1	668169.5
2012	2	669287.6
2012	3	671244.1
2012	4	668449.1
2013	1	665304.6
2013	2	672292.4
2013	3	675926.0
2013	4	678231.9
2014	1	684800.4
2014	2	684590.8
2014	3	687944.9
2014	4	693884.5
2015	1	692487.0
2015	2	696819.4
2015	3	699963.9
2015	4	703038.5
2016	1	708628.7
2016	2	712681.6
2016	3	714149.0
2016	4	716734.5
2017	1	725259.5
2017	2	729312.5
2017	3	735601.4
2017	4	740982.0
2018	1	741960.3
2018	2	744825.3
2018	3	744056.6
2018	4	745593.9
2019	1	748458.9
2019	2	747899.9
2019	3	749112.542
