year	quarter	gdp
1995	1	351786.0
1995	2	352890.0
1995	3	352158.0
1995	4	355198.0
1996	1	357100.6
1996	2	357068.4
1996	3	357495.4
1996	4	356398.2
1997	1	357675.6
1997	2	362399.1
1997	3	364790.6
1997	4	370976.3
1998	1	368789.7
1998	2	370587.4
1998	3	371003.3
1998	4	369452.1
1999	1	371774.0
1999	2	373193.1
1999	3	376251.1
1999	4	381908.6
2000	1	386336.6
2000	2	388899.9
2000	3	391558.8
2000	4	397292.8
2001	1	399401.9
2001	2	398239.5
2001	3	397279.5
2001	4	396963.9
2002	1	396786.3
2002	2	398626.1
2002	3	399462.4
2002	4	400980.9
2003	1	399406.9
2003	2	398983.9
2003	3	398693.8
2003	4	402349.3
2004	1	403704.6
2004	2	404859.7
2004	3	404833.7
2004	4	405584.0
2005	1	405189.5
2005	2	408064.4
2005	3	410712.0
2005	4	411220.0
2006	1	412413.6
2006	2	415065.9
2006	3	416791.6
2006	4	421684.3
2007	1	421670.8
2007	2	422169.6
2007	3	422924.1
2007	4	421575.1
2008	1	425972.1
2008	2	422142.7
2008	3	417123.1
2008	4	406817.3
2009	1	395448.2
2009	2	394201.9
2009	3	396094.1
2009	4	397332.0
2010	1	398607.4
2010	2	401551.1
2010	3	403494.6
2010	4	405894.0
2011	1	407277.7
2011	2	407765.1
2011	3	405847.6
2011	4	402262.1
2012	1	397727.9
2012	2	394651.2
2012	3	392489.2
2012	4	389348.5
2013	1	386052.4
2013	2	386074.6
2013	3	386782.6
2013	4	386011.6
2014	1	386448.8
2014	2	386425.3
2014	3	386972.8
2014	4	386164.0
2015	1	387041.6
2015	2	388539.4
2015	3	389432.3
2015	4	391177.9
2016	1	392509.6
2016	2	393153.5
2016	3	395375.9
2016	4	396790.1
2017	1	398999.4
2017	2	400582.4
2017	3	402154.8
2017	4	404197.8
2018	1	404520.3
2018	2	404209.8
2018	3	403669.3
2018	4	404001.2
2019	1	404461.3
2019	2	404748.4
2019	3	405064.0
